1,10,15.690040904657401,,15.690040904657401,
2,20,16.349849902534114,,16.349849902534114,
3,30,17.008488135799464,,17.008488135799464,
4,40,17.81969256273938,,17.81969256273938,
5,50,18.823108974358973,,18.823108974358973,
6,60,20.029057504312824,,20.029057504312824,
7,70,21.43918287539166,,21.43918287539166,
8,80,23.05180506909037,,23.05180506909037,
9,90,24.863611854731918,,24.863611854731918,
10,100,26.870299387081566,,26.870299387081566,
,15.690040904657401,,16.349849902534114,,17.008488135799464,,17.81969256273938,,18.823108974358973,,20.029057504312824,,21.43918287539166,,23.05180506909037,,24.863611854731918,,15.690040904657401,,16.349849902534114,,17.008488135799464,,17.81969256273938,,18.823108974358973,,20.029057504312824,,21.43918287539166,,23.05180506909037,,24.863611854731918,,15.690040904657401,,15.690040904657401,,15.690040904657401,,15.690040904657401,,15.690040904657401,,15.690040904657401,,16.349849902534114,,16.349849902534114,,16.349849902534114,,16.349849902534114,,16.349849902534114,,16.349849902534114,,17.008488135799464,,17.008488135799464,,17.008488135799464,,17.008488135799464,,17.008488135799464,,17.008488135799464,,17.81969256273938,,17.81969256273938,,17.81969256273938,,17.81969256273938,,17.81969256273938,,17.81969256273938,,18.823108974358973,,18.823108974358973,,18.823108974358973,,18.823108974358973,,18.823108974358973,,18.823108974358973,,20.029057504312824,,20.029057504312824,,20.029057504312824,,20.029057504312824,,20.029057504312824,,20.029057504312824,,21.43918287539166,,21.43918287539166,,21.43918287539166,,21.43918287539166,,21.43918287539166,,21.43918287539166,,23.05180506909037,,23.05180506909037,,23.05180506909037,,23.05180506909037,,23.05180506909037,,23.05180506909037,,24.863611854731918,,24.863611854731918,,24.863611854731918,,24.863611854731918,,24.863611854731918,,24.863611854731918,
